shipment_id,product,carrier,origin,destination,ship_date,est_delivery,actual_delivery,weight_kg,cost_usd,status
SH-00571,Valve-M,Maersk,Mumbai,Los Angeles,2024-02-09,2024-02-20,2024-02-21,427.2,638.32,delivered
SH-00572,Part-Y,UPS,Chicago,New York,2023-08-29,2023-09-22,2023-09-22,48.2,4684.92,delivered
SH-00573,Sensor-L,USPS,London,New York,2024-04-29,2024-05-19,2024-05-19,52.4,3096.24,delivered
SH-00574,Part-Y,UPS,Tokyo,London,2023-03-28,2023-04-20,2023-04-20,221.9,645.16,delivered
SH-00575,Widget-A,Blue Dart,Berlin,Toronto,2024-06-23,2024-07-22,2024-07-22,457.7,4323.24,delivered
SH-00576,Valve-M,UPS,Tokyo,Dubai,2024-04-23,2024-05-23,2024-05-25,88.9,2993.96,delivered
SH-00577,Sensor-L,USPS,Tokyo,Singapore,2024-10-08,2024-11-03,2024-11-08,267.1,4545.98,delayed
SH-00578,Valve-M,DHL,Berlin,Sydney,2024-05-08,2024-05-28,2024-05-28,130.3,1528.31,delivered
SH-00579,Motor-K,DHL,Chicago,Dubai,2023-01-01,2023-01-20,2023-01-30,4.7,4611.61,delivered
SH-00580,Assembly-Z,USPS,Mumbai,Toronto,2024-05-03,2024-05-15,2024-05-15,4.1,1877.61,delivered
SH-00581,Part-Y,UPS,Tokyo,Singapore,2024-02-26,2024-03-17,2024-03-17,323.2,4144.71,delivered
SH-00582,Part-Y,USPS,London,Toronto,2023-08-14,2023-08-25,2023-08-25,455.0,4040.76,delivered
SH-00583,Assembly-Z,Maersk,Mumbai,Toronto,2024-12-02,2024-12-13,2024-12-13,34.7,696.07,in_transit
SH-00584,Valve-M,DHL,Tokyo,Dubai,2023-04-24,2023-05-17,2023-05-18,246.3,1613.41,delayed
SH-00585,Gadget-X,FedEx,Berlin,London,2023-06-05,2023-06-09,2023-06-11,63.0,2200.51,delivered
SH-00586,Widget-A,Maersk,Mumbai,London,2023-01-09,2023-01-19,2023-01-19,210.4,3931.84,delivered
SH-00587,Motor-K,FedEx,London,Toronto,2024-05-25,2024-06-08,2024-06-09,475.8,294.35,delivered
SH-00588,Gadget-X,UPS,London,London,2024-02-06,2024-02-11,2024-02-13,408.7,4143.84,delivered
SH-00589,Sensor-L,Maersk,Mumbai,Singapore,2023-05-05,2023-06-01,2023-06-08,497.3,1007.91,delivered
SH-00590,Valve-M,Maersk,Tokyo,London,2023-04-07,2023-04-26,2023-05-01,468.1,805.68,delivered
SH-00591,Widget-B,DHL,Chicago,Singapore,2023-02-13,2023-03-11,2023-03-13,149.8,1811.73,in_transit
SH-00592,Widget-B,UPS,Tokyo,Sydney,2023-02-23,2023-03-25,2023-03-30,162.6,849.29,delivered
SH-00593,Part-Y,FedEx,Shanghai,Dubai,2023-10-10,2023-10-31,2023-10-31,391.8,2384.22,delivered
SH-00594,Part-Y,UPS,Chicago,New York,2024-09-02,2024-09-09,2024-09-09,343.1,1702.03,delivered
SH-00595,Gadget-X,Blue Dart,Sao Paulo,Toronto,2024-10-02,2024-10-06,2024-10-06,54.1,2446.9,delivered
SH-00596,Valve-M,Blue Dart,Mumbai,New York,2023-11-21,2023-12-11,2023-12-21,344.8,1800.46,delivered
SH-00597,Valve-M,USPS,Berlin,Dubai,2023-05-18,2023-05-29,2023-05-29,348.7,961.03,delivered
SH-00598,Valve-M,DHL,London,Toronto,2023-07-11,2023-07-31,2023-07-31,299.5,4304.9,delivered
SH-00599,Valve-M,DHL,London,London,2023-06-14,2023-06-19,2023-06-21,271.0,2278.58,delivered
SH-00600,Widget-A,USPS,London,London,2024-10-15,2024-11-03,2024-11-03,388.1,1205.35,delivered
SH-00601,Part-Y,USPS,Tokyo,Sydney,2023-03-06,2023-03-30,2023-04-01,383.0,783.35,delivered
SH-00602,Widget-B,FedEx,Sao Paulo,Singapore,2023-10-17,2023-10-30,2023-10-30,33.8,4178.44,delivered
SH-00603,Widget-B,Maersk,Mumbai,New York,2023-05-13,2023-05-21,2023-05-21,16.4,3214.13,delivered
SH-00604,Assembly-Z,FedEx,Berlin,Los Angeles,2024-02-02,2024-02-26,2024-02-27,303.2,368.31,in_transit
SH-00605,Valve-M,Blue Dart,Shanghai,London,2023-08-02,2023-08-25,2023-08-26,279.2,4692.15,delivered
SH-00606,Assembly-Z,USPS,Shanghai,Singapore,2024-03-01,2024-03-30,2024-03-30,35.7,1529.96,delivered
SH-00607,Part-Y,USPS,Chicago,Los Angeles,2023-08-10,2023-08-29,2023-08-29,97.0,3289.53,delivered
SH-00608,Sensor-L,Blue Dart,Shanghai,Toronto,2024-08-06,2024-08-29,2024-08-29,319.5,1799.45,in_transit
SH-00609,Widget-B,UPS,London,Los Angeles,2024-04-14,2024-05-09,2024-05-14,275.2,2530.89,delivered
SH-00610,Valve-M,DHL,Berlin,Dubai,2024-11-04,2024-11-12,2024-11-14,495.7,1633.4,delayed
SH-00611,Motor-K,USPS,Mumbai,Dubai,2024-01-16,2024-02-01,2024-02-11,273.0,1884.69,delivered
SH-00612,Valve-M,Maersk,Chicago,New York,2024-07-17,2024-08-12,2024-08-12,363.3,4915.04,delivered
SH-00613,Assembly-Z,FedEx,Berlin,Los Angeles,2024-09-02,2024-09-05,2024-09-07,107.8,1584.8,delivered
SH-00614,Gadget-X,FedEx,Shanghai,Sydney,2024-12-07,2025-01-05,2025-01-05,178.2,704.96,in_transit
SH-00615,Assembly-Z,DHL,Shanghai,Dubai,2024-01-11,2024-02-01,2024-02-01,200.2,4590.64,delivered
SH-00616,Gadget-X,Maersk,London,Singapore,2023-03-21,2023-04-16,2023-04-16,351.6,4100.28,delivered
SH-00617,Widget-A,Blue Dart,London,Dubai,2023-04-08,2023-04-30,2023-05-05,191.1,3903.91,delivered
SH-00618,Widget-B,UPS,Tokyo,Singapore,2023-12-09,2023-12-23,2023-12-23,424.8,4644.34,delivered
SH-00619,Widget-A,DHL,Sao Paulo,New York,2024-10-11,2024-11-07,2024-11-12,160.0,2831.09,delivered
SH-00620,Gadget-X,FedEx,Tokyo,Singapore,2023-12-01,2023-12-20,2023-12-27,498.7,4855.64,delivered
SH-00621,Part-Y,Maersk,Berlin,Toronto,2024-09-01,2024-09-22,2024-09-24,197.5,673.96,delivered
SH-00622,Sensor-L,DHL,Shanghai,Sydney,2023-03-26,2023-04-13,2023-04-16,251.2,3872.52,delivered
SH-00623,Part-Y,Maersk,Chicago,Singapore,2023-05-14,2023-06-10,2023-06-10,285.9,2812.42,delivered
SH-00624,Assembly-Z,Maersk,Berlin,Singapore,2024-06-20,2024-06-30,2024-06-30,462.1,461.63,delivered
SH-00625,Motor-K,UPS,Berlin,London,2024-11-18,2024-12-04,2024-12-04,297.1,135.67,delivered
SH-00626,Valve-M,USPS,Mumbai,Sydney,2023-11-09,2023-11-17,2023-11-17,22.9,4093.59,delayed
SH-00627,Widget-B,FedEx,Tokyo,New York,2023-07-24,2023-08-17,2023-08-17,121.9,3110.7,delivered
SH-00628,Motor-K,Blue Dart,London,New York,2023-06-01,2023-07-01,2023-07-01,152.9,2363.88,delivered
SH-00629,Part-Y,UPS,Sao Paulo,Dubai,2023-12-06,2023-12-15,2023-12-22,375.3,2750.77,in_transit
SH-00630,Sensor-L,USPS,Tokyo,Dubai,2024-09-29,2024-10-25,2024-10-25,22.2,864.04,delivered
SH-00631,Assembly-Z,FedEx,Chicago,Singapore,2023-10-18,2023-10-27,2023-11-06,472.6,346.99,delayed
SH-00632,Widget-B,FedEx,Berlin,Toronto,2024-11-07,2024-11-18,2024-11-23,441.8,1941.82,delivered
SH-00633,Motor-K,Maersk,London,Dubai,2024-01-25,2024-02-13,2024-02-20,266.0,944.29,delivered
SH-00634,Widget-A,UPS,Sao Paulo,London,2024-05-27,2024-06-13,2024-06-15,167.1,1976.1,delivered
SH-00635,Motor-K,Blue Dart,Berlin,Los Angeles,2023-06-10,2023-06-13,2023-06-13,498.0,4893.26,delivered
SH-00636,Sensor-L,FedEx,Sao Paulo,London,2023-10-10,2023-11-07,2023-11-07,113.2,1718.8,delivered
SH-00637,Sensor-L,USPS,Tokyo,Dubai,2024-02-07,2024-03-02,2024-03-02,436.4,3437.32,delivered
SH-00638,Sensor-L,DHL,Sao Paulo,London,2024-03-03,2024-03-13,2024-03-16,224.9,671.88,delivered
SH-00639,Part-Y,UPS,Berlin,Singapore,2024-10-30,2024-11-06,2024-11-09,352.7,2626.17,in_transit
SH-00640,Gadget-X,DHL,Shanghai,Dubai,2023-05-19,2023-06-04,2023-06-14,266.7,3601.41,delivered
SH-00641,Motor-K,Maersk,Chicago,London,2023-07-08,2023-07-21,2023-07-21,221.8,4669.84,delivered
SH-00642,Part-Y,FedEx,Mumbai,Los Angeles,2024-10-14,2024-11-09,2024-11-09,13.6,4929.99,delivered
SH-00643,Part-Y,USPS,Mumbai,Los Angeles,2024-09-23,2024-10-04,2024-10-07,343.8,1805.92,delayed
SH-00644,Valve-M,Blue Dart,Tokyo,London,2024-12-05,2025-01-01,2025-01-02,92.4,1946.49,delivered
SH-00645,Part-Y,FedEx,Chicago,Toronto,2024-04-30,2024-05-07,2024-05-07,484.4,4628.29,delivered
SH-00646,Part-Y,FedEx,Mumbai,Sydney,2024-02-27,2024-03-08,2024-03-15,433.6,2457.37,delivered
SH-00647,Sensor-L,Maersk,London,New York,2023-11-29,2023-12-29,2023-12-30,304.2,4124.28,delivered
SH-00648,Widget-A,USPS,Shanghai,Sydney,2023-11-17,2023-12-02,2023-12-05,228.7,4390.67,delayed
SH-00649,Widget-A,USPS,Chicago,Dubai,2023-09-09,2023-09-28,2023-09-30,382.7,4813.52,delivered
SH-00650,Assembly-Z,DHL,Chicago,Los Angeles,2023-07-14,2023-07-26,2023-07-27,211.5,3071.47,delivered
SH-00651,Valve-M,Blue Dart,Chicago,New York,2023-02-25,2023-03-22,2023-03-24,361.5,579.16,delivered
SH-00652,Sensor-L,Maersk,Berlin,Sydney,2024-08-22,2024-09-16,2024-09-18,12.9,2276.6,delivered
SH-00653,Assembly-Z,DHL,Tokyo,Singapore,2024-12-30,2025-01-08,2025-01-09,453.6,3985.48,delivered
SH-00654,Motor-K,FedEx,Sao Paulo,Singapore,2023-05-07,2023-05-12,2023-05-12,192.4,3958.47,delivered
SH-00655,Sensor-L,FedEx,London,Los Angeles,2024-06-07,2024-06-29,2024-06-29,456.2,2833.98,delivered
SH-00656,Gadget-X,UPS,London,Singapore,2024-11-06,2024-12-06,2024-12-06,26.1,1550.69,delivered
SH-00657,Widget-B,UPS,Mumbai,New York,2024-04-01,2024-04-13,2024-04-18,311.5,1276.76,delivered
SH-00658,Widget-A,USPS,Chicago,Los Angeles,2024-04-14,2024-05-02,2024-05-03,108.8,3302.46,in_transit
SH-00659,Widget-A,UPS,Sao Paulo,London,2024-04-09,2024-04-25,2024-04-26,310.1,2794.38,delivered
SH-00660,Widget-A,Blue Dart,Berlin,New York,2023-08-01,2023-08-05,2023-08-05,73.1,176.67,delivered
SH-00661,Motor-K,FedEx,Shanghai,New York,2024-08-14,2024-09-12,2024-09-15,208.8,903.57,delivered
SH-00662,Gadget-X,Maersk,Tokyo,Dubai,2024-11-19,2024-12-01,2024-12-04,180.4,193.66,delayed
SH-00663,Widget-B,Maersk,London,Dubai,2023-11-03,2023-11-16,2023-11-16,32.9,2362.02,delivered
SH-00664,Sensor-L,USPS,Mumbai,Singapore,2023-05-05,2023-05-30,2023-05-30,104.9,305.05,delivered
SH-00665,Widget-B,Maersk,Tokyo,Singapore,2024-08-08,2024-09-03,2024-09-08,302.6,3944.1,in_transit
SH-00666,Motor-K,DHL,Sao Paulo,Dubai,2024-12-24,2025-01-05,2025-01-05,497.5,1778.96,delayed
SH-00667,Valve-M,Maersk,London,Los Angeles,2023-05-13,2023-06-04,2023-06-07,441.9,1175.12,delivered
SH-00668,Widget-A,Maersk,Tokyo,Toronto,2023-10-25,2023-11-03,2023-11-03,59.4,4242.63,delivered
SH-00669,Motor-K,DHL,Sao Paulo,Toronto,2024-09-22,2024-10-08,2024-10-08,318.9,71.32,delivered
SH-00670,Widget-B,DHL,Berlin,Dubai,2023-07-26,2023-08-20,2023-08-20,275.2,3838.66,delivered
SH-00671,Sensor-L,Blue Dart,Sao Paulo,Dubai,2023-04-27,2023-05-21,2023-05-21,480.1,4162.73,delivered
SH-00672,Valve-M,FedEx,Tokyo,Los Angeles,2023-07-18,2023-07-31,2023-07-31,241.0,3141.59,delivered
SH-00673,Widget-A,USPS,Berlin,Dubai,2024-07-03,2024-07-16,2024-07-17,362.6,1587.78,delivered
SH-00674,Motor-K,DHL,Shanghai,Los Angeles,2024-07-02,2024-07-05,2024-07-05,140.6,170.4,delayed
SH-00675,Sensor-L,UPS,Sao Paulo,New York,2024-01-20,2024-02-12,2024-02-14,432.4,3761.43,delivered
SH-00676,Assembly-Z,Maersk,Shanghai,Sydney,2024-12-23,2025-01-22,2025-01-22,438.6,1867.34,delivered
SH-00677,Gadget-X,FedEx,Berlin,Toronto,2023-11-06,2023-11-15,2023-11-17,19.2,1022.46,delivered
SH-00678,Valve-M,USPS,Mumbai,Los Angeles,2023-04-05,2023-04-22,2023-04-24,170.4,2425.11,delivered
SH-00679,Gadget-X,FedEx,London,Dubai,2024-06-20,2024-07-02,2024-07-12,338.5,676.6,delivered
SH-00680,Widget-B,FedEx,Berlin,New York,2023-02-07,2023-02-24,2023-02-24,343.7,2977.52,in_transit
SH-00681,Widget-B,USPS,London,Singapore,2023-03-31,2023-04-13,2023-04-14,372.9,127.06,delivered
SH-00682,Part-Y,UPS,Berlin,London,2023-11-16,2023-12-09,2023-12-09,266.4,3867.34,delivered
SH-00683,Gadget-X,DHL,Shanghai,New York,2024-11-18,2024-11-24,2024-11-24,479.2,2804.73,delivered
SH-00684,Motor-K,DHL,Mumbai,Singapore,2023-04-15,2023-04-24,2023-04-26,402.1,2876.8,delivered
SH-00685,Motor-K,USPS,Chicago,New York,2023-06-25,2023-06-30,2023-06-30,65.5,2361.62,delayed
SH-00686,Widget-A,FedEx,Chicago,Sydney,2024-11-22,2024-11-26,2024-11-26,89.9,2986.66,delivered
SH-00687,Motor-K,DHL,Berlin,Toronto,2024-08-29,2024-09-21,2024-09-28,99.5,3795.64,delivered
SH-00688,Gadget-X,FedEx,London,Toronto,2024-06-30,2024-07-05,2024-07-15,459.9,2349.36,delivered
SH-00689,Valve-M,UPS,Mumbai,Los Angeles,2024-04-11,2024-04-23,2024-04-28,430.6,3090.46,delivered
SH-00690,Motor-K,Maersk,Chicago,New York,2024-01-08,2024-01-23,2024-01-23,33.1,577.74,delivered
SH-00691,Motor-K,USPS,Sao Paulo,Los Angeles,2024-05-05,2024-05-22,2024-05-22,254.2,2037.34,delivered
SH-00692,Assembly-Z,USPS,Chicago,Sydney,2023-04-20,2023-05-03,2023-05-05,295.5,1204.3,delivered
SH-00693,Sensor-L,FedEx,Berlin,Los Angeles,2023-09-07,2023-09-27,2023-09-27,407.1,2960.99,delivered
SH-00694,Part-Y,UPS,Tokyo,Singapore,2024-03-21,2024-04-11,2024-04-21,39.4,4655.35,delivered
SH-00695,Valve-M,DHL,Sao Paulo,New York,2024-08-10,2024-09-08,2024-09-09,411.1,893.23,delivered
SH-00696,Sensor-L,DHL,Chicago,Singapore,2024-02-20,2024-02-25,2024-02-28,330.3,466.31,delivered
SH-00697,Gadget-X,Blue Dart,Mumbai,Sydney,2023-05-23,2023-06-13,2023-06-23,265.9,1959.06,delivered
SH-00698,Motor-K,DHL,Sao Paulo,Toronto,2024-08-14,2024-08-31,2024-08-31,456.6,1533.18,delivered
SH-00699,Widget-A,USPS,Sao Paulo,Sydney,2024-03-21,2024-04-15,2024-04-15,423.9,4264.74,delivered
SH-00700,Widget-A,Blue Dart,Sao Paulo,Toronto,2023-03-05,2023-03-19,2023-03-21,489.4,561.85,delivered
SH-00701,Sensor-L,Blue Dart,Sao Paulo,Sydney,2023-10-16,2023-11-15,2023-11-15,312.8,3563.19,delivered
SH-00702,Part-Y,Blue Dart,Mumbai,Sydney,2024-02-20,2024-03-06,2024-03-06,70.0,2783.78,in_transit
SH-00703,Assembly-Z,Blue Dart,Mumbai,Los Angeles,2024-01-04,2024-02-02,2024-02-02,6.3,3247.22,delivered
SH-00704,Gadget-X,FedEx,Mumbai,Singapore,2023-05-28,2023-06-23,2023-06-24,403.1,4302.86,delivered
SH-00705,Gadget-X,Maersk,Sao Paulo,Sydney,2024-12-13,2025-01-04,2025-01-04,276.2,2258.48,delayed
SH-00706,Widget-A,USPS,Chicago,Toronto,2023-12-30,2024-01-09,2024-01-09,365.6,3564.97,delivered
SH-00707,Motor-K,FedEx,Shanghai,Dubai,2023-10-03,2023-10-19,2023-10-21,241.9,1852.36,delayed
SH-00708,Gadget-X,Blue Dart,Tokyo,Dubai,2024-08-17,2024-09-04,2024-09-11,491.8,4918.59,delivered
SH-00709,Widget-B,UPS,Chicago,Singapore,2023-10-14,2023-10-31,2023-11-02,371.0,4802.65,delivered
SH-00710,Assembly-Z,USPS,Shanghai,London,2023-03-21,2023-04-14,2023-04-19,267.7,68.76,in_transit
SH-00711,Motor-K,Maersk,Berlin,Toronto,2024-04-09,2024-04-28,2024-04-29,147.7,850.03,delayed
SH-00712,Assembly-Z,FedEx,Tokyo,Sydney,2024-12-12,2025-01-03,2025-01-10,289.3,2870.71,delivered
SH-00713,Widget-A,DHL,Chicago,New York,2024-11-03,2024-11-15,2024-11-25,63.8,398.16,delayed
SH-00714,Assembly-Z,DHL,London,London,2023-10-12,2023-10-23,2023-10-23,7.6,571.07,delayed
SH-00715,Valve-M,DHL,London,Los Angeles,2023-06-28,2023-07-19,2023-07-26,131.0,3508.36,delivered
SH-00716,Widget-A,DHL,Shanghai,Los Angeles,2024-05-11,2024-05-19,2024-05-29,298.0,4111.29,in_transit
SH-00717,Part-Y,Blue Dart,Chicago,Singapore,2024-05-22,2024-06-18,2024-06-18,319.0,1066.12,delivered
SH-00718,Widget-B,FedEx,Mumbai,Sydney,2023-12-20,2023-12-24,2023-12-29,199.7,1517.32,delivered
SH-00719,Valve-M,DHL,Mumbai,Dubai,2024-06-29,2024-07-09,2024-07-09,435.2,74.14,delivered
SH-00720,Widget-A,FedEx,Sao Paulo,Singapore,2024-04-04,2024-04-19,2024-04-24,177.2,4223.53,delivered
SH-00721,Assembly-Z,DHL,London,New York,2024-09-17,2024-10-10,2024-10-10,128.0,2927.12,delivered
SH-00722,Part-Y,USPS,Berlin,Singapore,2024-04-17,2024-05-14,2024-05-19,345.3,911.88,delivered
SH-00723,Widget-B,FedEx,Chicago,New York,2024-07-14,2024-07-17,2024-07-22,262.9,3432.22,delivered
SH-00724,Assembly-Z,UPS,Shanghai,New York,2023-12-26,2024-01-05,2024-01-12,309.9,298.56,delivered
SH-00725,Widget-B,Blue Dart,Shanghai,New York,2024-08-31,2024-09-24,2024-09-24,428.3,662.59,delayed
SH-00726,Gadget-X,FedEx,Tokyo,Los Angeles,2024-11-03,2024-11-30,2024-12-05,127.0,2342.77,delayed
SH-00727,Sensor-L,Blue Dart,Tokyo,Toronto,2023-03-19,2023-04-11,2023-04-12,385.2,1297.82,delivered
SH-00728,Sensor-L,Maersk,Berlin,New York,2023-03-17,2023-03-28,2023-04-07,129.5,4066.81,delivered
SH-00729,Part-Y,USPS,Chicago,Los Angeles,2023-07-02,2023-07-19,2023-07-19,322.9,555.53,delivered
SH-00730,Widget-B,Maersk,Tokyo,London,2024-07-07,2024-08-03,2024-08-03,52.1,378.5,delivered
SH-00731,Widget-A,Maersk,Mumbai,Singapore,2024-08-08,2024-09-03,2024-09-03,320.3,4665.48,delivered
SH-00732,Motor-K,Maersk,Sao Paulo,New York,2024-11-11,2024-11-26,2024-11-26,257.9,4700.46,delivered
SH-00733,Widget-B,USPS,Mumbai,New York,2024-05-17,2024-06-04,2024-06-04,192.5,3450.97,delivered
SH-00734,Motor-K,DHL,Tokyo,London,2024-05-08,2024-05-14,2024-05-17,200.6,3166.88,in_transit
SH-00735,Motor-K,FedEx,London,Sydney,2024-10-24,2024-10-29,2024-10-29,380.3,1460.44,in_transit
SH-00736,Sensor-L,Blue Dart,Mumbai,London,2023-07-27,2023-08-04,2023-08-06,348.1,4483.86,delivered
SH-00737,Widget-B,Blue Dart,Chicago,Singapore,2024-10-07,2024-11-01,2024-11-01,95.1,192.96,delivered
SH-00738,Valve-M,Maersk,Shanghai,Toronto,2023-01-26,2023-02-21,2023-02-24,270.5,1549.04,delivered
SH-00739,Widget-A,FedEx,Berlin,New York,2024-06-30,2024-07-29,2024-08-08,169.2,3609.24,delivered
SH-00740,Valve-M,Blue Dart,London,Toronto,2024-02-20,2024-02-26,2024-02-26,268.5,3709.14,in_transit
SH-00741,Valve-M,Blue Dart,Shanghai,Sydney,2023-08-27,2023-09-01,2023-09-01,453.6,3097.58,delivered
SH-00742,Widget-A,UPS,Tokyo,New York,2023-09-06,2023-10-01,2023-10-06,452.4,4106.39,delivered
SH-00743,Widget-B,FedEx,Shanghai,Sydney,2023-04-10,2023-04-27,2023-04-30,297.7,3083.91,delivered
SH-00744,Motor-K,Blue Dart,Tokyo,Sydney,2023-03-06,2023-04-03,2023-04-03,162.5,4879.63,delivered
SH-00745,Part-Y,FedEx,Sao Paulo,Los Angeles,2024-08-12,2024-09-01,2024-09-01,168.1,616.92,delivered
SH-00746,Motor-K,USPS,Mumbai,Sydney,2023-05-25,2023-06-21,2023-06-21,122.2,2916.2,delivered
SH-00747,Sensor-L,UPS,Shanghai,Sydney,2023-05-17,2023-05-23,2023-06-02,40.8,51.01,delayed
SH-00748,Assembly-Z,Maersk,Tokyo,Toronto,2023-04-02,2023-04-27,2023-05-02,396.2,2387.92,delayed
SH-00749,Valve-M,Maersk,Mumbai,Los Angeles,2023-05-10,2023-05-19,2023-05-19,305.5,202.54,delivered
SH-00750,Widget-B,Blue Dart,London,Toronto,2023-07-04,2023-07-29,2023-07-30,150.9,2102.65,delayed
SH-00751,Widget-B,USPS,Berlin,Toronto,2024-07-25,2024-08-04,2024-08-04,380.7,2705.52,delivered
SH-00752,Assembly-Z,FedEx,Mumbai,New York,2023-08-13,2023-08-30,2023-09-09,398.4,3430.94,delivered
SH-00753,Widget-A,FedEx,Tokyo,London,2024-04-30,2024-05-18,2024-05-18,142.9,2181.84,delivered
SH-00754,Widget-A,FedEx,Tokyo,New York,2023-12-09,2023-12-31,2024-01-10,462.5,891.8,delivered
SH-00755,Widget-B,UPS,Tokyo,Sydney,2023-01-30,2023-02-17,2023-02-19,296.6,1639.97,delivered
SH-00756,Part-Y,FedEx,Berlin,Los Angeles,2023-07-23,2023-08-18,2023-08-23,49.5,3692.67,delivered
SH-00757,Valve-M,USPS,Chicago,New York,2023-07-24,2023-08-08,2023-08-08,445.3,737.53,delivered
SH-00758,Motor-K,UPS,Chicago,Singapore,2024-09-16,2024-10-03,2024-10-03,97.5,1802.57,delivered
SH-00759,Widget-A,Blue Dart,Sao Paulo,New York,2023-10-04,2023-10-13,2023-10-13,140.7,568.88,delivered
SH-00760,Motor-K,UPS,Berlin,Dubai,2024-04-21,2024-05-08,2024-05-08,78.8,3975.91,delivered
SH-00761,Part-Y,FedEx,Chicago,Toronto,2024-09-18,2024-09-26,2024-09-29,261.1,4313.06,in_transit
SH-00762,Assembly-Z,FedEx,Tokyo,Sydney,2023-08-10,2023-08-31,2023-09-01,368.2,1244.57,delivered
SH-00763,Gadget-X,USPS,Shanghai,Sydney,2023-12-02,2023-12-18,2023-12-21,490.1,214.69,delivered
SH-00764,Widget-A,Maersk,Sao Paulo,Sydney,2024-04-26,2024-05-22,2024-06-01,239.9,3993.12,in_transit
SH-00765,Widget-B,USPS,London,New York,2023-04-11,2023-04-28,2023-04-29,346.7,2041.99,delivered
SH-00766,Part-Y,Blue Dart,Shanghai,New York,2023-08-12,2023-08-19,2023-08-19,240.2,1534.61,delivered
SH-00767,Widget-A,Maersk,Chicago,Toronto,2024-12-21,2025-01-07,2025-01-10,69.7,3520.13,delayed
SH-00768,Widget-A,Blue Dart,Shanghai,Sydney,2023-07-09,2023-08-06,2023-08-06,446.8,1674.54,delivered
SH-00769,Part-Y,Blue Dart,Shanghai,Dubai,2023-02-03,2023-02-15,2023-02-15,440.5,3682.77,delivered
SH-00770,Widget-A,FedEx,Chicago,London,2023-02-26,2023-03-17,2023-03-22,232.9,218.76,delivered
SH-00771,Widget-B,USPS,Tokyo,Toronto,2024-01-11,2024-01-19,2024-01-24,102.8,4906.54,in_transit
SH-00772,Part-Y,Blue Dart,London,Los Angeles,2023-09-02,2023-09-22,2023-09-22,160.6,4491.2,delivered
SH-00773,Widget-A,FedEx,Berlin,London,2024-05-30,2024-06-23,2024-06-23,226.5,2514.73,delivered
SH-00774,Assembly-Z,Maersk,Sao Paulo,London,2023-05-06,2023-05-24,2023-05-31,400.1,4727.65,in_transit
SH-00775,Widget-B,Maersk,Mumbai,London,2023-03-09,2023-03-18,2023-03-19,479.1,398.58,delivered
SH-00776,Valve-M,UPS,London,Los Angeles,2023-06-18,2023-06-29,2023-06-29,260.6,3141.97,delivered
SH-00777,Gadget-X,Maersk,Berlin,Sydney,2023-10-28,2023-11-13,2023-11-18,222.2,3228.75,in_transit
SH-00778,Part-Y,USPS,Tokyo,London,2023-10-26,2023-11-04,2023-11-04,206.1,1723.82,delivered
SH-00779,Valve-M,Maersk,Berlin,Dubai,2024-10-23,2024-11-20,2024-11-20,66.4,3949.9,delivered
SH-00780,Valve-M,DHL,Berlin,Toronto,2023-06-25,2023-07-23,2023-07-23,422.8,754.47,delivered
SH-00781,Gadget-X,Blue Dart,Sao Paulo,London,2023-10-19,2023-11-05,2023-11-05,91.5,889.17,delayed
SH-00782,Gadget-X,UPS,Shanghai,New York,2024-12-26,2025-01-20,2025-01-25,496.9,2879.01,delivered
SH-00783,Part-Y,USPS,Tokyo,New York,2024-03-27,2024-04-07,2024-04-07,332.9,4890.44,delivered
SH-00784,Gadget-X,USPS,Berlin,New York,2023-06-01,2023-06-15,2023-06-16,460.3,2031.74,in_transit
SH-00785,Motor-K,UPS,Shanghai,Singapore,2024-05-26,2024-06-22,2024-06-22,273.3,2544.43,delivered
SH-00786,Assembly-Z,USPS,Tokyo,Los Angeles,2024-10-24,2024-11-18,2024-11-18,399.9,3646.79,delivered
SH-00787,Valve-M,FedEx,Mumbai,Singapore,2024-03-28,2024-04-10,2024-04-17,275.7,1550.79,delivered
SH-00788,Motor-K,FedEx,Berlin,New York,2024-02-16,2024-03-09,2024-03-09,304.3,987.82,delivered
SH-00789,Part-Y,FedEx,Shanghai,Dubai,2024-06-23,2024-07-03,2024-07-13,424.8,3390.16,delivered
SH-00790,Valve-M,DHL,Sao Paulo,Dubai,2023-03-31,2023-04-19,2023-04-19,256.0,294.4,delivered
SH-00791,Sensor-L,DHL,Chicago,London,2024-11-13,2024-11-27,2024-11-27,6.6,1734.43,delivered
SH-00792,Part-Y,Blue Dart,Chicago,Singapore,2023-11-12,2023-11-29,2023-12-01,496.3,4021.37,delivered
SH-00793,Sensor-L,UPS,London,Dubai,2023-10-23,2023-10-31,2023-11-10,299.2,731.04,delivered
SH-00794,Widget-B,USPS,London,Sydney,2023-11-07,2023-11-25,2023-11-27,44.7,2056.16,delivered
SH-00795,Valve-M,Blue Dart,Sao Paulo,Toronto,2023-10-07,2023-10-23,2023-10-23,457.5,1008.3,in_transit
SH-00796,Widget-A,DHL,London,Dubai,2024-01-26,2024-02-07,2024-02-09,152.3,2803.02,delivered
SH-00797,Gadget-X,DHL,Berlin,Singapore,2024-04-19,2024-04-29,2024-04-29,417.2,2370.62,delivered
SH-00798,Gadget-X,Maersk,Tokyo,Singapore,2024-10-31,2024-11-24,2024-11-24,122.8,609.98,delivered
